fold_id,target_start,target_end,n_weeks,train_until,n_regression_labels,n_alert_labels,n_alert_positive
2024-Q2,2024-W14,2024-W26,13,2024-W12,221,221,34
2024-Q3,2024-W27,2024-W39,13,2024-W25,219,219,105
2024-Q4,2024-W40,2024-W52,13,2024-W38,203,203,37
2025-Q1,2025-W01,2025-W13,13,2024-W51,204,202,88
2025-Q2,2025-W14,2025-W26,13,2025-W12,221,221,42
2025-Q3,2025-W27,2025-W39,13,2025-W25,221,221,107
2025-Q4,2025-W40,2025-W52,13,2025-W38,203,203,13
2026-Q1,2026-W01,2026-W13,13,2025-W51,204,204,43
2026-Q2,2026-W14,2026-W26,13,2026-W12,206,205,40
2026-Q3,2026-W27,2026-W36,10,2026-W25,165,160,108
