date_week,week_start_date,region,region_code,pathogen,n_sites,conc_mean,conc_log10,conc_3wk_avg,conc_base_avg,wow_change_rate,precip_mm,temp_avg,pop_served,pop_sampled,missing_reason,target_week_t2,target_conc_t2,target_alert_t2
2023-W14,2023-04-02,서울,01,SARS-CoV-2,0,,,107726.42,,-18.8685,56.0,12.0,9667667,,no_measurement,2023-W16,,
2023-W14,2023-04-02,부산,02,SARS-CoV-2,3,84567.62,4.9272,80688.34,,-0.0853,57.0,12.6,2961386,2464725,,2023-W16,330727.29,
2023-W14,2023-04-02,대구,03,SARS-CoV-2,2,1232131.06,6.0907,1378920.78,,-0.0141,28.5,12.8,1948639,1679730,,2023-W16,1398025.71,
2023-W14,2023-04-02,인천,04,SARS-CoV-2,5,40295.50,4.6053,33809.06,,0.0426,56.8,11.9,2579599,1786450,,2023-W16,80267.32,
2023-W14,2023-04-02,광주,05,SARS-CoV-2,3,7869.11,3.8960,20191.88,,0.7184,57.8,12.3,691807,691807,,2023-W16,3703.60,
2023-W14,2023-04-02,대전,06,SARS-CoV-2,2,114423.56,5.0585,112663.42,,0.2030,39.7,12.7,1439687,2913348,,2023-W16,188321.88,
2023-W14,2023-04-02,울산,07,SARS-CoV-2,4,385082.74,5.5856,248213.29,,-1.4211,31.8,12.8,1218898,1218898,,2023-W16,533668.05,
2023-W14,2023-04-02,세종,08,SARS-CoV-2,3,887318.61,5.9481,1136291.59,,0.4658,40.8,12.5,343577,336440,,2023-W16,95941.01,
2023-W14,2023-04-02,경기,09,SARS-CoV-2,2,146022.15,5.1644,183697.40,,-1.2491,51.6,11.9,6563383,168061,,2023-W16,644173.97,
2023-W14,2023-04-02,강원,10,SARS-CoV-2,3,30228.29,4.4804,68412.53,,0.6209,44.1,7.2,816637,536638,,2023-W16,15432.84,
2023-W14,2023-04-02,충북,11,SARS-CoV-2,5,12913.20,4.1111,12378.66,,-2.2147,31.8,11.6,374120,251076,,2023-W16,5500.93,
2023-W14,2023-04-02,충남,12,SARS-CoV-2,0,,,312432.32,,,40.6,12.5,1408091,,no_measurement,2023-W16,168320.84,
2023-W14,2023-04-02,전북,13,SARS-CoV-2,2,204186.63,5.3100,149340.99,,-1.5661,40.4,11.0,1043386,635558,,2023-W16,144098.40,
2023-W14,2023-04-02,전남,14,SARS-CoV-2,8,32374.84,4.5102,34089.45,,0.2349,67.5,11.1,1017979,885968,,2023-W16,69981.57,
2023-W14,2023-04-02,경북,15,SARS-CoV-2,5,87835.59,4.9437,115925.08,,0.2222,27.8,11.4,1287477,623669,,2023-W16,112132.06,
2023-W14,2023-04-02,경남,16,SARS-CoV-2,1,37150.32,4.5700,16800.86,,-2.1698,48.9,11.7,1723394,691333,,2023-W16,,
2023-W14,2023-04-02,제주,17,SARS-CoV-2,8,5330.47,3.7268,2244.24,,-10.2380,185.8,9.1,563849,563849,,2023-W16,585.99,
