date_week,week_start_date,conc_mean_national,conc_3wk_avg,wow_change_rate,n_samples,covid_cases_national
2023-W14,2023-04-02,72752.20,67541.75,-0.1664,70,
2023-W15,2023-04-09,51430.69,62185.94,0.2931,71,
2023-W16,2023-04-16,72528.25,65570.38,-0.4102,74,
2023-W17,2023-04-23,80826.85,68261.93,-0.1144,75,
2023-W18,2023-04-30,72861.39,75405.50,0.0985,67,
2023-W19,2023-05-07,71845.24,75177.83,0.0139,69,
2023-W20,2023-05-14,56741.35,67149.33,0.2102,71,
2023-W21,2023-05-21,85256.04,71280.87,-0.5025,68,
2023-W22,2023-05-28,56317.47,66104.95,0.3394,67,
2023-W23,2023-06-04,59390.91,66988.14,-0.0546,68,
2023-W24,2023-06-11,74192.13,63300.17,-0.2492,64,
2023-W25,2023-06-18,68069.28,67217.44,0.0825,63,
2023-W26,2023-06-25,54207.43,65489.61,0.2036,64,
2023-W27,2023-07-02,89761.01,70679.24,-0.6559,65,
2023-W28,2023-07-09,92653.08,78873.84,-0.0322,59,
2023-W29,2023-07-16,90362.79,90925.63,0.0247,67,
2023-W30,2023-07-23,142088.80,108368.23,-0.5724,68,
2023-W31,2023-07-30,196188.76,142880.12,-0.3807,59,
2023-W32,2023-08-06,112864.41,150380.66,0.4247,70,
2023-W33,2023-08-13,102356.02,137136.39,0.0931,68,
2023-W34,2023-08-20,116306.00,110508.81,-0.1363,64,
2023-W35,2023-08-27,99868.00,106176.67,0.1413,76,
2023-W36,2023-09-03,118851.12,111675.04,-0.1901,61,
2023-W37,2023-09-10,55552.79,91423.97,0.5326,65,
2023-W38,2023-09-17,51026.98,75143.63,0.0815,59,
2023-W39,2023-09-24,48633.38,51737.71,0.0469,56,
2023-W40,2023-10-01,62191.12,53950.49,-0.2788,57,
2023-W41,2023-10-08,62636.95,57820.48,-0.0072,64,
2023-W42,2023-10-15,46578.44,57135.50,0.2564,72,
2023-W43,2023-10-22,8110.55,39108.65,0.8259,20,
2023-W44,2023-10-29,11251.50,21980.16,-0.3873,20,
2023-W45,2023-11-05,5904.42,8422.16,0.4752,55,
2023-W46,2023-11-12,13301.14,10152.35,-1.2527,76,
2023-W47,2023-11-19,6209.86,8471.81,0.5331,66,
2023-W48,2023-11-26,21105.97,13538.99,-2.3988,65,
2023-W49,2023-12-03,16020.61,14445.48,0.2409,68,
2023-W50,2023-12-10,21559.89,19562.15,-0.3458,67,
2023-W51,2023-12-17,16179.52,17920.00,0.2496,67,
2023-W52,2023-12-24,,,,,
2024-W01,2023-12-31,20577.49,20577.49,,76,848
2024-W02,2024-01-07,36648.37,28612.93,-0.7810,82,747
2024-W03,2024-01-14,25096.48,27440.78,0.3152,84,826
2024-W04,2024-01-21,25785.22,29176.69,-0.0274,85,846
2024-W05,2024-01-28,29700.77,26860.82,-0.1519,89,879
2024-W06,2024-02-04,20842.62,25442.87,0.2982,87,794
2024-W07,2024-02-11,32502.50,27681.96,-0.5594,86,814
2024-W08,2024-02-18,13806.72,22383.94,0.5752,93,650
2024-W09,2024-02-25,21059.14,22456.12,-0.5253,87,490
2024-W10,2024-03-03,23769.83,19545.23,-0.1287,88,515
2024-W11,2024-03-10,21015.16,21948.04,0.1159,82,481
2024-W12,2024-03-17,23532.84,22772.61,-0.1198,88,449
2024-W13,2024-03-24,19484.36,21344.12,0.1720,96,397
2024-W14,2024-03-31,13196.73,18737.98,0.3227,84,365
2024-W15,2024-04-07,10406.95,14362.68,0.2114,87,332
2024-W16,2024-04-14,9096.56,10900.08,0.1259,88,267
2024-W17,2024-04-21,6617.44,8706.98,0.2725,85,213
2024-W18,2024-04-28,4628.63,6780.88,0.3005,79,119
2024-W19,2024-05-05,3324.46,4856.84,0.2818,83,72
2024-W20,2024-05-12,3462.43,3805.17,-0.0415,78,79
2024-W21,2024-05-19,3911.11,3566.00,-0.1296,81,77
2024-W22,2024-05-26,3384.32,3585.95,0.1347,80,68
2024-W23,2024-06-02,4528.62,3941.35,-0.3381,82,81
2024-W24,2024-06-09,3998.92,3970.62,0.1170,85,61
2024-W25,2024-06-16,4426.72,4318.09,-0.1070,96,70
2024-W26,2024-06-23,4880.09,4435.24,-0.1024,82,61
2024-W27,2024-06-30,5728.95,5011.92,-0.1739,81,90
2024-W28,2024-07-07,7382.94,5997.33,-0.2887,85,144
2024-W29,2024-07-14,10494.58,7868.82,-0.4215,88,223
2024-W30,2024-07-21,19098.16,12325.22,-0.8198,89,456
2024-W31,2024-07-28,40277.78,23290.17,-1.1090,87,864
2024-W32,2024-08-04,72005.00,43793.65,-0.7877,93,1362
2024-W33,2024-08-11,75578.56,62620.45,-0.0496,90,1441
2024-W34,2024-08-18,66046.34,71209.97,0.1261,87,1173
2024-W35,2024-08-25,39259.30,60294.74,0.4056,90,837
2024-W36,2024-09-01,29255.04,44853.56,0.2548,89,550
2024-W37,2024-09-08,18959.32,29157.89,0.3519,88,349
2024-W38,2024-09-15,11672.29,19962.21,0.3844,79,213
2024-W39,2024-09-22,6777.69,12469.77,0.4193,87,173
2024-W40,2024-09-29,7855.63,8768.54,-0.1590,84,144
2024-W41,2024-10-06,5095.84,6576.39,0.3513,84,115
2024-W42,2024-10-13,3782.67,5578.04,0.2577,85,106
2024-W43,2024-10-20,3960.69,4279.73,-0.0471,80,78
2024-W44,2024-10-27,2458.75,3400.70,0.3792,87,92
2024-W45,2024-11-03,2564.67,2994.70,-0.0431,85,76
2024-W46,2024-11-10,2078.37,2367.26,0.1896,88,67
2024-W47,2024-11-17,1971.02,2204.69,0.0516,86,55
2024-W48,2024-11-24,2060.00,2036.46,-0.0451,83,49
2024-W49,2024-12-01,2346.67,2125.90,-0.1392,82,64
2024-W50,2024-12-08,2744.94,2383.87,-0.1697,81,46
2024-W51,2024-12-15,4074.60,3055.40,-0.4844,81,66
2024-W52,2024-12-22,,,,,113
