plant_id,plant_name,region,region_code,latitude,longitude,treatment_population,in_current_registry,first_sample_week,last_sample_week
P006,수영하수처리장,부산,02,35.1890287,129.1115238,880100,1,2023-W14,2026-W36
P007,남부하수처리장,부산,02,35.1258010,129.1164160,718952,1,2023-W14,2026-W36
P008,강변(장림)하수처리장,부산,02,35.0831186,128.9539507,865673,1,2023-W14,2026-W36
P009,신천하수처리장,대구,03,35.9100567,128.5950196,887097,1,2023-W14,2026-W37
P010,서부하수처리장,대구,03,35.8234915,128.4958433,792633,1,2023-W14,2026-W37
P011,남항 공공하수처리시설,인천,04,37.4347215,126.6296595,199167,1,2023-W14,2026-W36
P012,승기 공공하수처리시설,인천,04,37.3964625,126.6673880,826813,1,2023-W14,2026-W36
P013,송도2 공공하수처리시설,인천,04,37.3741598,126.6513103,67804,1,2023-W14,2026-W36
P014,가좌 공공하수처리시설,인천,04,37.4958597,126.6448386,585783,1,2023-W14,2026-W36
P015,공촌 공공하수처리시설,인천,04,37.5473728,126.6080182,106883,1,2023-W14,2026-W36
P016,제1하수처리장,광주,05,35.1560929,126.8302314,465265,1,2023-W14,2026-W37
P017,효천하수처리장,광주,05,35.1042537,126.8652271,42747,1,2023-W14,2026-W37
P018,제2하수처리장,광주,05,35.0910985,126.7947620,183795,1,2023-W14,2026-W37
P019,대전광역시 시설관리공단 하수종말처리장,대전,06,36.3890945,127.4088878,1456674,0,2023-W14,2024-W52
P020,용연수질개선사업소,울산,07,35.4625098,129.3613089,514367,1,2023-W14,2026-W37
P021,방어진수질개선사업소,울산,07,35.5374074,129.4465313,242431,1,2023-W14,2026-W37
P022,농소수질개선사업소,울산,07,35.6124817,129.3440337,322400,1,2023-W14,2026-W37
P023,굴화수질개선사업소,울산,07,35.5607888,129.2574989,139700,1,2023-W14,2026-W37
P024,수질복원센터 A,세종,08,36.4645710,127.2473364,203310,1,2023-W14,2026-W36
P025,수질복원센터 B,세종,08,36.4691461,127.2651030,89742,1,2023-W14,2026-W36
P026,조치원공공하수처리장,세종,08,36.5902008,127.3013335,43388,1,2023-W14,2026-W36
P027,수원 서호하수처리장,경기,09,37.2837434,126.9860802,122953,1,2023-W14,2026-W37
P028,낙양물사랑 공공하수처리시설,경기,09,37.7472224,127.0926957,45108,0,2023-W14,2023-W52
P029,춘천하수처리장,강원,10,37.8794933,127.7101696,242273,1,2023-W14,2026-W37
P030,원주하수처리장,강원,10,37.3907732,127.9387220,257285,1,2023-W14,2026-W37
P031,홍천하수처리장,강원,10,37.7062042,127.8354739,37080,1,2023-W14,2026-W37
P032,청주하수처리장,충북,11,36.6660090,127.3944666,9940,1,2023-W14,2026-W37
P033,충주하수처리장,충북,11,36.9810528,127.8959074,173301,1,2023-W14,2026-W37
P034,옥천하수처리장,충북,11,36.3260119,127.5514106,33400,1,2023-W14,2026-W37
P035,진천하수처리장,충북,11,36.8403633,127.4953139,30905,1,2023-W14,2026-W37
P036,덕산하수처리장,충북,11,36.8850242,127.5079213,3530,1,2023-W14,2026-W37
P037,천안 제1 하수처리장,충남,12,36.7822250,127.1223625,543394,1,2023-W15,2026-W36
P038,전주하수처리장,전북,13,35.8753051,127.1036805,626638,1,2023-W14,2026-W37
P039,임실하수처리장,전북,13,35.6377323,127.2820849,8920,1,2023-W14,2026-W37
P040,남해하수처리장,전남,14,34.7902803,126.4074571,138037,1,2023-W14,2026-W37
P041,북항하수처리장,전남,14,34.8127616,126.3712985,53736,1,2023-W14,2026-W37
P042,남악하수처리장,전남,14,34.8025355,126.4437647,57972,1,2023-W14,2026-W37
P043,여수하수종말처리장,전남,14,34.7360594,127.6798385,247594,1,2023-W14,2026-W37
P044,순천시 맑은물관리센터,전남,14,34.9085138,127.5118207,249179,1,2023-W14,2026-W37
P045,나주공공하수처리시설,전남,14,34.9957122,126.6943903,36606,1,2023-W14,2026-W37
P046,빛가람수질복원센터,전남,14,35.0080930,126.7685847,52491,1,2023-W14,2026-W37
P047,광양하수처리장,전남,14,34.9254274,127.5880329,50353,1,2023-W14,2026-W37
P048,경주하수처리장,경북,15,35.8913824,129.2321989,168043,1,2023-W14,2026-W37
P049,안동하수처리장,경북,15,36.5574666,128.6736279,104990,1,2023-W14,2026-W37
P050,원평하수처리장,경북,15,36.1279570,128.3450770,69598,1,2023-W14,2026-W37
P051,영천하수처리장,경북,15,35.9263408,128.9295270,57701,1,2023-W14,2026-W37
P052,경산하수처리장,경북,15,35.8512390,128.7264632,223337,1,2023-W14,2026-W37
P053,덕동공공하수처리장,경남,16,35.1346139,128.5704936,691333,1,2023-W14,2026-W37
P054,진주공공하수처리장,경남,16,35.2044514,128.1241849,313505,1,2023-W14,2026-W37
P055,거제장승포하수처리장,경남,16,34.8614314,128.7115413,65755,1,2025-W01,2026-W37
P056,양산공공하수처리장,경남,16,35.3064339,129.0218134,254869,1,2023-W14,2026-W37
P057,제주,제주,17,33.5075484,126.4789548,350161,1,2023-W14,2026-W37
P058,서부,제주,17,33.3700318,126.2061678,30774,1,2023-W14,2026-W37
P059,동부,제주,17,33.5627374,126.7789218,31193,1,2023-W14,2026-W37
P060,보목,제주,17,33.2433404,126.5914127,60500,1,2023-W14,2026-W37
P061,색달,제주,17,33.2422795,126.3965939,31309,1,2023-W14,2026-W37
P062,대정,제주,17,33.1981330,126.2670953,26653,1,2023-W14,2026-W37
P063,성산,제주,17,33.4517793,126.9190247,13915,1,2023-W14,2026-W37
P064,남원,제주,17,33.2882681,126.7544276,19344,1,2023-W14,2026-W37
P065,중계펌프장(테크노),대전,06,,,1456674,0,2023-W14,2026-W18
P066,성환 하수처리장,충남,12,36.9575396,127.1199211,76774,1,2023-W17,2026-W36
P071,중랑B 물 재생센터,서울,01,37.5598642,127.0629228,1600501,0,2023-W39,2025-W52
P072,중랑A 물 재생센터,서울,01,37.5598642,127.0629228,3201001,1,2023-W40,2026-W37
P073,서남 물 재생센터,서울,01,37.5758138,126.8319875,3456538,1,2023-W40,2026-W37
P074,난지 물 재생센터,서울,01,37.5866399,126.8471944,1448231,1,2023-W40,2026-W37
P075,탄천 물 재생센터,서울,01,37.4968003,127.0828269,1561897,1,2023-W40,2026-W37
P077,환경관리 화순사업소,전남,14,35.0101975,126.9429119,46761,1,2024-W01,2026-W37
P078,만수 공공하수처리시설,인천,04,37.4269093,126.7400559,261787,1,2024-W01,2026-W36
P079,광양중앙하수처리장,전남,14,34.9291596,127.6906989,62758,1,2023-W40,2026-W37
P080,강릉공공하수처리장,강원,10,37.7683008,128.9399207,175371,1,2024-W01,2026-W37
P081,아산 제1 하수처리장,충남,12,36.8003521,126.9800198,158855,1,2024-W01,2026-W36
P082,북강릉 공공하수처리장,강원,10,37.8740747,128.8379447,21121,1,2024-W01,2026-W37
P083,아산 제2 하수처리장,충남,12,36.7928428,127.0535806,130000,1,2024-W01,2026-W36
P084,공주 하수처리장,충남,12,36.4531146,127.0946132,84000,1,2024-W01,2026-W36
P085,서산 하수처리장,충남,12,36.7227647,126.4626763,139000,1,2024-W01,2026-W36
P086,의정부 장암하수처리시설,경기,09,37.7220393,127.0529124,414936,1,2024-W01,2026-W37
P087,남양주 진건하수처리시설,경기,09,37.6350280,127.1515301,262301,1,2024-W01,2026-W37
P088,"수원(제1, 제2) 하수처리장",경기,09,37.2145439,127.0211374,1678197,1,2024-W02,2026-W37
P089,지산하수처리장,대구,03,35.8294651,128.6206329,57411,1,2024-W01,2026-W37
P090,북부하수처리장,대구,03,35.8871541,128.5375728,211498,1,2024-W01,2026-W37
P091,제천하수처리장,충북,11,37.1268070,128.1951880,123044,1,2024-W01,2026-W37
P092,포항하수처리장,경북,15,36.0052992,129.3499136,395764,1,2024-W02,2026-W37
P093,김천하수처리장,경북,15,36.1361765,128.1410021,115982,1,2024-W02,2026-W37
P094,동부하수처리장,부산,02,35.1828340,129.1202455,226125,1,2024-W01,2026-W36
P095,해운대하수처리장,부산,02,35.1757377,129.1849003,121225,1,2024-W01,2026-W36
P096,중앙하수처리장,부산,02,35.0547597,129.0127873,149311,1,2024-W01,2026-W36
P097,군산하수처리장,전북,13,35.9706587,126.5731831,16968,1,2024-W01,2026-W37
P098,통영하수처리장,경남,16,34.8306721,128.3935929,121034,1,2024-W04,2026-W37
P099,김해화목하수처리장,경남,16,35.1756790,128.8767403,276898,1,2024-W04,2026-W37
P101,당진 하수처리장,충남,12,36.9155916,126.6359614,76633,1,2025-W01,2026-W36
P102,보령 하수처리장,충남,12,36.3545899,126.5570742,57473,1,2025-W01,2026-W36
P103,속초 처리장,강원,10,38.1834990,128.6055738,83507,1,2025-W02,2026-W37
P104,대불하수처리장,전남,14,34.7667049,126.4153242,22492,1,2024-W01,2026-W37
P105,"대전시설관리공단 하수처리장(유입수1,2)",대전,06,36.3828368,127.4082523,653427,1,2025-W01,2026-W37
P106,"대전시설관리공단 하수처리장(유입수3,4)",대전,06,36.3828368,127.4082523,653426,1,2025-W01,2026-W37
P107,대덕테크노벨리 중계펌프장,대전,06,36.4286317,127.4004456,36880,1,2025-W01,2026-W37
P108,둔산 침사지,대전,06,36.3708837,127.3924460,70438,1,2025-W01,2026-W37
P109,화암 중계펌프장,대전,06,36.4087211,127.3784259,25516,1,2025-W01,2026-W37
P110,점촌하수처리장,경북,15,36.5756817,128.2154737,38256,1,2025-W02,2026-W37
P111,연서면공공하수처리장,세종,08,36.5484654,127.2919308,7137,1,2025-W02,2026-W36
P112,검단 공공하수처리시설,인천,04,37.5891100,126.6110114,265681,1,2025-W01,2026-W36
P113,익산하수처리장,전북,13,35.9267518,126.9805247,253500,1,2025-W02,2026-W37
P114,고양 일산하수처리장,경기,09,37.6581111,126.7262267,640662,1,2025-W40,2026-W37
P115,용인 수지하수처리장,경기,09,37.3287745,127.1058309,449630,1,2025-W40,2026-W37
P116,안양 안양하수처리장,경기,09,37.4155397,126.8904240,440013,1,2025-W40,2026-W37
P117,안양 석수하수처리장,경기,09,37.4167685,126.8977483,528016,1,2025-W40,2026-W37
P118,논산 하수처리장,충남,12,36.1856883,127.0585328,62252,1,2026-W02,2026-W36
P119,계룡 하수처리장,충남,12,36.2569664,127.2813642,45565,1,2026-W02,2026-W36
P120,홍성 하수처리장,충남,12,36.6117831,126.6932398,34145,1,2026-W02,2026-W36
P122,영주하수처리장,경북,15,36.7726786,128.6207172,81519,1,2026-W02,2026-W37
P123,상주하수처리장,경북,15,36.4226987,128.1890609,32287,1,2026-W02,2026-W37
P124,성남 제1 제2처리장,경기,09,37.4660122,127.1241679,821851,1,2026-W02,2026-W37
P125,안산 처리장,경기,09,37.3055354,126.7567788,679967,1,2026-W02,2026-W37
P126,검단증설 공공하수처리시설,인천,04,37.5897229,126.6112770,265681,1,2026-W01,2026-W36
P127,정읍공공하수처리장,전북,13,35.6122903,126.8566861,80987,1,2026-W02,2026-W37
