model,macro_f1_real_fold
NeuralNetTorch_r143_BAG_L1,0.659903381642512
NeuralNetTorch_r79_BAG_L1,0.6497884138333576
NeuralNetTorch_r22_BAG_L1,0.6444444444444445
NeuralNetTorch_r41_BAG_L1,0.6392703422832547
NeuralNetTorch_BAG_L1,0.6342234544481735
NeuralNetTorch_r87_BAG_L1,0.6333333333333333
NeuralNetTorch_r158_BAG_L1,0.6236559139784946
WeightedEnsemble_L2,0.6177113517360582
NeuralNetTorch_r197_BAG_L1,0.6166666666666667
NeuralNetTorch_r30_BAG_L1,0.6166666666666667
NeuralNetTorch_r86_BAG_L1,0.6132405900054265
NeuralNetFastAI_r145_BAG_L1,0.6130952380952381
NeuralNetTorch_r14_BAG_L1,0.6115501833772405
NeuralNetFastAI_r111_BAG_L1,0.6106729316999496
NeuralNetFastAI_r160_BAG_L1,0.6084265079898268
NeuralNetTorch_r31_BAG_L1,0.597454491638301
NeuralNetFastAI_r143_BAG_L1,0.5946675526392292
NeuralNetFastAI_BAG_L1,0.5927272727272728
XGBoost_r33_BAG_L2,0.5881006864988558
NeuralNetTorch_r185_BAG_L1,0.5851761476284887
NeuralNetFastAI_r134_BAG_L1,0.5833333333333334
LightGBMLarge_BAG_L2,0.583155700819478
ExtraTrees_r178_BAG_L1,0.5826086956521739
XGBoost_r194_BAG_L2,0.5816683932711756
NeuralNetTorch_r22_BAG_L2,0.5781147000659196
LightGBM_r196_BAG_L2,0.5777148615576563
LightGBM_r161_BAG_L2,0.5768025078369906
LightGBM_r131_BAG_L2,0.5768025078369906
CatBoost_r177_BAG_L2,0.5754693366708385
NeuralNetTorch_r71_BAG_L1,0.5736831317893011
NeuralNetFastAI_r191_BAG_L1,0.5728451563691839
LightGBM_r188_BAG_L2,0.5728451563691839
ExtraTreesEntr_BAG_L1,0.5726495726495726
NeuralNetFastAI_r95_BAG_L1,0.5719636169074371
XGBoost_BAG_L2,0.5719636169074371
NeuralNetFastAI_r156_BAG_L1,0.5717209888206582
NeuralNetFastAI_r138_BAG_L1,0.5684523809523809
CatBoost_r13_BAG_L2,0.5658822949040501
LightGBM_r130_BAG_L2,0.5658822949040501
LightGBM_r96_BAG_L2,0.5658822949040501
ExtraTrees_r4_BAG_L1,0.563330499753926
NeuralNetFastAI_r88_BAG_L1,0.5623590383415711
LightGBM_BAG_L2,0.561128526645768
CatBoost_r167_BAG_L2,0.561128526645768
NeuralNetFastAI_r37_BAG_L1,0.5594493116395495
CatBoost_BAG_L2,0.5594493116395495
ExtraTreesGini_BAG_L1,0.558742415885273
ExtraTrees_r49_BAG_L1,0.558742415885273
NeuralNetFastAI_r69_BAG_L1,0.556398657522253
NeuralNetTorch_r30_BAG_L2,0.5559183673469388
NeuralNetTorch_r79_BAG_L2,0.5559183673469388
ExtraTrees_r42_BAG_L1,0.5528397517881674
LightGBMXT_BAG_L2,0.5516908212560386
XGBoost_r89_BAG_L2,0.5516908212560386
ExtraTrees_r172_BAG_L2,0.5500961965369247
CatBoost_r137_BAG_L2,0.5500961965369247
RandomForest_r195_BAG_L2,0.5500961965369247
XGBoost_BAG_L1,0.5487957098608478
CatBoost_r9_BAG_L2,0.5454545454545454
RandomForest_r39_BAG_L2,0.5454545454545454
CatBoost_r69_BAG_L2,0.5434292866082603
LightGBM_r30_BAG_L1,0.5433918128654971
LightGBMXT_BAG_L1,0.5423340961098397
NeuralNetFastAI_BAG_L2,0.5408895265423243
CatBoost_r70_BAG_L2,0.5408336981370689
CatBoost_r50_BAG_L2,0.5408336981370689
ExtraTrees_r172_BAG_L1,0.5408336981370689
XGBoost_r194_BAG_L1,0.5394855189782335
LightGBM_r196_BAG_L1,0.539313399778516
RandomForestEntr_BAG_L2,0.5388590737427947
NeuralNetTorch_BAG_L2,0.5377908503597878
RandomForest_r127_BAG_L1,0.537681777272512
NeuralNetFastAI_r102_BAG_L1,0.5363733414671343
NeuralNetFastAI_r65_BAG_L1,0.535177466211949
XGBoost_r98_BAG_L1,0.5344736378063834
ExtraTreesEntr_BAG_L2,0.5343100981697992
ExtraTreesGini_BAG_L2,0.5343100981697992
NeuralNetFastAI_r95_BAG_L2,0.5340811044003451
RandomForestGini_BAG_L1,0.5316473919094007
LightGBM_r188_BAG_L1,0.5298159952981599
XGBoost_r49_BAG_L1,0.5296388925453029
RandomForestGini_BAG_L2,0.5274092615769712
RandomForest_r195_BAG_L1,0.5270785659801678
RandomForest_r39_BAG_L1,0.5270785659801678
WeightedEnsemble_L3,0.5253790375741596
NeuralNetTorch_r14_BAG_L2,0.525323161686798
NeuralNetFastAI_r11_BAG_L2,0.5245714285714286
LightGBM_BAG_L1,0.5238095238095238
LightGBM_r130_BAG_L1,0.5238095238095238
NeuralNetFastAI_r103_BAG_L2,0.5227869243617276
NeuralNetTorch_r86_BAG_L2,0.5209832449183255
LightGBM_r94_BAG_L1,0.5207729468599034
ExtraTrees_r42_BAG_L2,0.5185239998026738
LightGBM_r143_BAG_L1,0.517981547731124
NeuralNetFastAI_r145_BAG_L2,0.5168248490077653
