model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order,MASE,MAPE,RMSE
Toto2,-0.0540060645255634,-0.07133894047708957,0.5959501266479492,0.014412879943847656,1.4432907104492188,8,-0.6373512469082802,-0.0732689906174861,-0.25445268158313283
WeightedEnsemble,-0.05613684137118119,-0.07070843197528655,3.103431463241577,0.1939134753968877,0.7624541229888564,11,-0.6765225168802557,-0.07828410247876642,-0.2675283114078843
Chronos2SmallFineTuned,-0.0577031462836461,-0.07199638644136296,1.1482293605804443,0.04172825813293457,80.57876348495483,6,-0.7042641603485565,-0.08008745713097794,-0.27661171968033743
Chronos2,-0.058543244544042035,-0.07194547401822445,1.262174367904663,0.07245922088623047,5.409281969070435,5,-0.7237829384907568,-0.08313254692543766,-0.28133824509989874
AutoETS,-0.06423488123338261,-0.07637966312348393,2.6412882804870605,0.014034032821655273,0.04332780838012695,7,-0.6980546462551623,-0.08368470871044978,-0.28766820379954583
DynamicOptimizedTheta,-0.06689047001960804,-0.0769691839788297,0.015419960021972656,0.013697624206542969,0.5823748111724854,4,-0.7005937023056436,-0.08386629901514438,-0.28944465604821806
RecursiveTabular,-0.0711609843486227,-0.08306337924500395,0.040120840072631836,0.02312469482421875,1.2152061462402344,2,-0.8635637829611189,-0.09651615318057917,-0.3482233660976532
SeasonalNaive,-0.07890322191034654,-0.08350602296683711,0.014592409133911133,0.029257535934448242,1.4400231838226318,1,-0.8597366190643957,-0.0963599674217703,-0.3482448044458516
DirectTabular,-0.0799879150289344,-0.09526571993337651,0.15366029739379883,0.027825593948364258,19.021283864974976,3,-0.9987299966636234,-0.12394434078495854,-0.39962515107138363
TemporalFusionTransformer,-0.0830827301913337,-0.09222059139737182,0.04705309867858887,0.01758575439453125,94.77426600456238,9,-1.0084669962739594,-0.11823870142192326,-0.37275373515062016
DeepAR,-0.0898502705089429,-0.09082940954849954,0.034314632415771484,0.017549514770507812,60.07702040672302,10,-1.0775831729288918,-0.12644962473458418,-0.41002174722850576
