region,conc_mean_mean,conc_mean_std,n_weeks,n_missing
대구,1584203.0249044586,5179764.185769534,168,11
세종,466092.17823899374,1217373.7647595203,168,9
부산,316662.52839506173,866943.1212475537,168,6
울산,233752.53526666667,695721.4489450171,168,18
경남,143609.55496551722,1244575.4539020064,168,23
대전,53991.10650306748,104037.08307699944,168,5
경기,42581.89240740741,109004.2266398397,168,6
충남,42176.17386075949,90062.56443758353,168,10
강원,35091.313726708075,123420.95584273624,168,7
전북,31997.03529032258,74117.11933420818,168,13
서울,27129.346029411765,50532.5080816564,168,32
전남,25976.44645962733,48777.68315687739,168,7
경북,25708.431772151896,48929.355966343544,168,10
충북,25253.201898734176,42971.39625798623,168,10
인천,13883.026875,25294.825259379813,168,8
광주,10324.609625000001,32035.95319447265,168,8
제주,2930.20962962963,5511.196182885981,168,6
