region,n_plants,pop_sum,conc_mean_avg,conc_mean_std,fold_id
강원,5,733130,78124.24708333334,217538.0606740364,2024-Q2
경기,5,2523495,127695.64854166667,173282.35740029535,2024-Q2
경남,5,1657639,480376.2109375,2646231.219365159,2024-Q2
경북,7,1135415,76080.28702127658,65284.04608495069,2024-Q2
광주,3,691807,20135.959,54943.90680876623,2024-Q2
대구,4,1948639,5479217.602888889,8565620.42071558,2024-Q2
대전,2,2913348,135040.218,157711.18341345273,2024-Q2
부산,6,2961386,931374.87,1375909.7821163454,2024-Q2
서울,5,11268168,62058.77954545454,42360.29725478323,2024-Q2
세종,3,336440,1357229.5854166667,1807072.9282924023,2024-Q2
울산,4,1218898,717899.2309302326,1167014.172037334,2024-Q2
인천,6,2048237,37591.60276595745,36053.852064244355,2024-Q2
전남,11,1017979,71798.23166666667,67205.65096221394,2024-Q2
전북,3,652526,101411.74782608697,108250.07224081425,2024-Q2
제주,8,563849,2138.529387755102,2937.4044383898745,2024-Q2
충남,6,1132023,55612.720888888885,148419.09303650155,2024-Q2
충북,6,374120,38175.90755555556,43237.343997818505,2024-Q2
강원,5,733130,65158.47967213114,194310.50593847423,2024-Q3
경기,5,2523495,101104.87540983607,161789.85097019395,2024-Q3
경남,5,1657639,347097.98,2231233.4814743446,2024-Q3
경북,7,1135415,60472.53866666667,65038.89639556282,2024-Q3
광주,3,691807,16961.109523809522,49289.79817559169,2024-Q3
대구,4,1948639,4251877.626551724,7870336.396387261,2024-Q3
대전,2,2913348,107557.4007936508,150365.85483843565,2024-Q3
부산,6,2961386,761443.2771428572,1269313.6175120065,2024-Q3
서울,5,11268168,45573.74771428571,40566.21694815738,2024-Q3
세종,3,336440,1076540.312295082,1689668.7885289285,2024-Q3
울산,4,1218898,561599.5796428572,1059546.2198603791,2024-Q3
인천,6,2048237,29927.0075,35069.10536232517,2024-Q3
전남,11,1017979,57763.106229508194,65428.58664783284,2024-Q3
전북,3,652526,79655.21644067796,103913.0227064109,2024-Q3
제주,8,563849,2071.7004838709677,2693.884821861755,2024-Q3
충남,6,1132023,46417.02310344827,131576.59939505067,2024-Q3
충북,6,374120,33611.50965517241,40074.15264639668,2024-Q3
강원,5,733130,62121.62378378378,178480.8593848557,2024-Q4
경기,5,2523495,85734.51851351351,150601.5243836794,2024-Q4
경남,5,1657639,295360.36736842105,1980823.201607033,2024-Q4
경북,7,1135415,53849.970273972605,61022.242605884305,2024-Q4
광주,3,691807,16801.376447368424,45155.68532432362,2024-Q4
대구,4,1948639,3477029.7571830982,7290797.887435164,2024-Q4
대전,2,2913348,91016.31039473684,141630.26514470074,2024-Q4
부산,6,2961386,665968.4913157894,1174767.796730277,2024-Q4
서울,5,11268168,62033.973333333335,72124.41647969233,2024-Q4
세종,3,336440,993841.5677027028,1636871.8235541692,2024-Q4
울산,4,1218898,490969.6417647059,975571.8652801373,2024-Q4
인천,6,2048237,27171.135753424656,32784.11062613477,2024-Q4
전남,11,1017979,53402.11027027027,61533.781533745576,2024-Q4
