fold_id,train_until,lag,n,r
2024-Q2,2024-W12,-2,10,0.15393170018890223
2024-Q2,2024-W12,-1,11,0.1938640325180375
2024-Q2,2024-W12,0,12,0.3329710058477859
2024-Q2,2024-W12,1,11,0.5225357047386128
2024-Q2,2024-W12,2,10,0.34737289011356287
2024-Q2,2024-W12,3,9,0.4602140425480282
2024-Q2,2024-W12,4,8,0.24877216316676196
2024-Q3,2024-W25,-2,23,0.9058437931164992
2024-Q3,2024-W25,-1,24,0.9345945990931767
2024-Q3,2024-W25,0,25,0.9633444115780591
2024-Q3,2024-W25,1,24,0.9659665056089303
2024-Q3,2024-W25,2,23,0.9479433676666718
2024-Q3,2024-W25,3,22,0.9216442225881591
2024-Q3,2024-W25,4,21,0.8784992749817313
2024-Q4,2024-W38,-2,36,0.7832778869980807
2024-Q4,2024-W38,-1,37,0.9067439449624048
2024-Q4,2024-W38,0,38,0.9596975123505448
2024-Q4,2024-W38,1,37,0.9311259611496596
2024-Q4,2024-W38,2,36,0.8380137780745954
2024-Q4,2024-W38,3,35,0.7065368740488593
2024-Q4,2024-W38,4,34,0.5480205112451398
2025-Q1,2024-W51,-2,49,0.8381388539806139
2025-Q1,2024-W51,-1,50,0.9274748135252483
2025-Q1,2024-W51,0,51,0.9658381318370625
2025-Q1,2024-W51,1,50,0.9496995250693763
2025-Q1,2024-W51,2,49,0.8805884736407886
2025-Q1,2024-W51,3,48,0.7714049320641092
2025-Q1,2024-W51,4,47,0.6318982875308421
2025-Q2,2025-W12,-2,60,0.8204738461434457
2025-Q2,2025-W12,-1,61,0.9186670120927292
2025-Q2,2025-W12,0,63,0.8816948701104041
2025-Q2,2025-W12,1,61,0.8768640305932279
2025-Q2,2025-W12,2,60,0.8404687025605708
2025-Q2,2025-W12,3,59,0.7539609084253975
2025-Q2,2025-W12,4,58,0.6539523468861834
2025-Q3,2025-W25,-2,73,0.8114671341050025
2025-Q3,2025-W25,-1,74,0.9103143847216639
2025-Q3,2025-W25,0,76,0.8819715826355903
2025-Q3,2025-W25,1,74,0.8733847087044676
2025-Q3,2025-W25,2,73,0.8391105670774983
2025-Q3,2025-W25,3,72,0.7521568394072818
2025-Q3,2025-W25,4,71,0.6514666511519557
2025-Q4,2025-W38,-2,86,0.8137129490399055
2025-Q4,2025-W38,-1,87,0.9136396790066246
2025-Q4,2025-W38,0,89,0.8859814623231966
2025-Q4,2025-W38,1,87,0.8739467702216596
2025-Q4,2025-W38,2,86,0.8314308037655465
2025-Q4,2025-W38,3,85,0.7372787089251698
2025-Q4,2025-W38,4,84,0.6256726888682197
2026-Q1,2025-W51,-2,99,0.7859385793387397
2026-Q1,2025-W51,-1,100,0.8857097550461502
2026-Q1,2025-W51,0,102,0.8753699598988879
2026-Q1,2025-W51,1,100,0.8686227132533374
2026-Q1,2025-W51,2,99,0.8316046415321797
2026-Q1,2025-W51,3,98,0.743307313442044
2026-Q1,2025-W51,4,97,0.6359114785236872
2026-Q2,2026-W12,-2,110,0.8233010016433453
2026-Q2,2026-W12,-1,111,0.9048093841492986
2026-Q2,2026-W12,0,114,0.8962719750773938
2026-Q2,2026-W12,1,111,0.8904485859384117
2026-Q2,2026-W12,2,110,0.8579925876336635
2026-Q2,2026-W12,3,109,0.7883159449196754
2026-Q2,2026-W12,4,108,0.7002348951088602
2026-Q3,2026-W25,-2,123,0.8569818464902706
2026-Q3,2026-W25,-1,124,0.9189542612608308
2026-Q3,2026-W25,0,127,0.9174812988862526
2026-Q3,2026-W25,1,124,0.9116818017947246
2026-Q3,2026-W25,2,123,0.888636160451274
2026-Q3,2026-W25,3,122,0.8337231214555689
2026-Q3,2026-W25,4,121,0.7663340202978952
